id,input_text,output_text,direction ,tone ,audience,cultural_ context,direction,tone,cultural_context,Unnamed: 5,Unnamed: 6
84,Beta Calgary te winter driving lessons nichhe,Son is taking winter driving lessons in Calgary,,,diaspora,,banglish_to_english,practical,Seasonal skill acquisition—practical adaptation requirements for safe navigation in harsh climates,,
85,Your understanding of Bengali family dynamics is impressively nuanced,Bangali paribarik byapar ta tumi impressively nuanced bhabe bujho,,,researchers,,english_to_banglish,respectful,Cultural insight appreciation—acknowledging deep comprehension of complex social structures and relationships,,
136,Daraz e order kora product ta fake chilo ar return policy hopeless,The product I ordered from Daraz was fake and the return policy is hopeless,,,expats,,banglish_to_english,frustrated,E-commerce trust challenges—highlighting consumer protection gaps in Bangladesh's rapidly growing online retail market,,
137,Your appreciation for our nakshi kantha artistry moves me to tears,Amader nakshi kantha shilpokormo ta tomar je recognition seta amake kadte korche,,,researchers,,english_to_banglish,emotional,Traditional embroidery reverence—profound emotional response to outsider appreciation of Bangladesh's iconic quilting heritage,,
138,Chachato bhai MIT e full scholarship peyeche engineering e,Cousin brother got full scholarship to MIT for engineering,,,diaspora,,banglish_to_english,proud,Academic achievement celebration—family honor through prestigious international university admission with financial support,,
139,Pahela Baishakh e Ramna Batamul e cultural program attend korte chai,Want to attend cultural program at Ramna Batamul on Pahela Baishakh,,,travelers,,banglish_to_english,excited,New Year celebration participation—desire to experience Bangladesh's premier cultural venue during the nation's most significant secular festival,,
140,The monsoon cricket you described captures our rainy season soul,Je monsoon cricket describe korecho seta amader brishti moshumer atma capture kore,,,influencers,,english_to_banglish,nostalgic,Seasonal sport tradition—recognizing authentic representation of how rain transforms Bangladesh's beloved game into unique cultural experience,,
141,Mama Qatar e World Cup construction e kaj kore family support korchen,Uncle is supporting family by working in Qatar World Cup construction,,,diaspora,,banglish_to_english,respectful,Gulf migration labor reality—acknowledging sacrificial overseas work that sustains Bangladeshi families through remittance economy,,
142,Village e solar panel setup dekhe rural electrification progress e amazed hoye gechi,Got amazed seeing solar panel setup in village showing rural electrification progress,,,professionals,,banglish_to_english,hopeful,Renewable energy advancement—witnessing sustainable development initiatives transforming Bangladesh's countryside infrastructure,,
143,Your sensitivity to our Liberation War stories deserves deepest respect,Amader Muktijuddho er golpo gulo tomar je sensitivity ache seta deepest respect deserve kore,,,researchers,,english_to_banglish,moved,Historical trauma recognition—appreciating profound understanding of Bangladesh's foundational independence struggle and its ongoing emotional significance,,
144,Eid er age tailoring shop e dress fit korte giye crowd e suffocate hoye gechi,Got suffocated in the crowd while getting dress fitted at tailoring shop before Eid,,,mixed_household,,banglish_to_english,overwhelmed,Festival preparation chaos—pre-celebration tailoring rush creating claustrophobic experiences in traditional clothing customization services,,
145,Sundarbans tour e Royal Bengal Tiger dekhar chance miss kore disappointed hoye gechi,Got disappointed missing the chance to see Royal Bengal Tiger during Sundarbans tour,,,travelers,,banglish_to_english,disappointed,Wildlife tourism expectation—unique frustration of missing Bangladesh's iconic endangered species in its natural mangrove habitat,,
146,The way you understand our jatra folk theater shows cultural depth,Amader jatra natak ta je bhabe bujho seta cultural depth dekhae,,,influencers,,english_to_banglish,impressed,Traditional performance appreciation—recognizing sophisticated understanding of Bangladesh's rural theatrical art form and its social commentary,,
147,Didi Toronto theke Bangladeshi grocery items pathiye diyeche,Sister sent Bangladeshi grocery items from Toronto,,,diaspora,,banglish_to_english,grateful,Transnational food care—overseas family members maintaining cultural culinary connections through specialty ingredient sharing,,
148,Load shedding e online class miss kore academic pressure barche,Academic pressure is increasing due to missing online classes because of load shedding,,,professionals,,banglish_to_english,stressed,Infrastructure education impact—power outage challenges affecting digital learning continuity and academic performance,,
149,Your documentation of our boat race traditions feels authentically Bengali,Amader nouka baich er tradition ta tomar documentation e authentically Bengali lagche,,,researchers,,english_to_banglish,appreciative,Water sport heritage recognition—praising genuine representation of Bangladesh's traditional riverine racing culture,,
150,Khalamama fisherman theke businessman howar journey ta inspiring,Uncle's journey from fisherman to businessman is inspiring,,,mixed_household,,banglish_to_english,motivated,Economic mobility narrative—celebrating entrepreneurial transformation within traditional occupational contexts,,
151,Chittagong Hill Tracts e tribal culture experience korte giye mind-blown hoye gechi,Got mind-blown experiencing tribal culture in Chittagong Hill Tracts,,,travelers,,banglish_to_english,amazed,Indigenous diversity encounter—profound impact of experiencing Bangladesh's ethnic minority cultures in their traditional territories,,
152,Your respect for our Baul music philosophy touches the depths of my soul,Amader Baul ganer darshonik darshan ta tomar je shoroddha seta amar atmar gobhir e chhoy jae,,,influencers,,english_to_banglish,deeply_moved,Mystical music reverence—spiritual response to outsider appreciation of Bangladesh's Sufi folk tradition and its philosophical depth,,
153,Baba retirement er por village e poultry farm setup koreche successfully,Dad successfully set up poultry farm in village after retirement,,,diaspora,,banglish_to_english,proud,Rural entrepreneurship success—elderly family members achieving agricultural business goals in countryside settings,,
154,Durga Puja immersion procession e participate kore emotional hoye porechi,Got emotional participating in Durga Puja immersion procession,,,mixed_household,,banglish_to_english,moved,Religious ceremony participation—emotional involvement in Hindu festival concluding rituals creating spiritual connection,,
155,The authenticity of your Bangladesh village life documentation is remarkable,Tomar Bangladesh er gram jibon er documentation er je authenticity seta remarkable,,,researchers,,english_to_banglish,impressed,Rural life representation quality—acknowledging exceptional genuine portrayal of authentic countryside experiences,,
156,Sylhet er cha bagan e first time tea plucking experience kore thrilled hoye gechi,Got thrilled experiencing tea plucking for the first time in Sylhet tea gardens,,,travelers,,banglish_to_english,excited,Agricultural tourism participation—hands-on involvement in Bangladesh's signature highland plantation industry,,
157,Nani WhatsApp e voice message pathiye recipe explain korchen,Grandma is explaining recipe by sending voice messages on WhatsApp,,,diaspora,,banglish_to_english,heartwarming,Digital elderly adaptation—grandmothers embracing technology to maintain culinary knowledge transfer across distances,,
158,Your understanding of our river-centric culture runs oceanic deep,Amader nodi-kendrik sangskriti ta tomar je bujhabujhi seta samudriker moto gobhir,,,researchers,,english_to_banglish,poetic,Geographical culture appreciation—metaphorically deep recognition of how rivers fundamentally shape Bangladeshi civilization and identity,,
159,Garments export business e success dekhe proud feel korchi Bangladesh er jonno,Feeling proud for Bangladesh seeing success in garments export business,,,professionals,,banglish_to_english,patriotic,Industrial achievement pride—national satisfaction with Bangladesh's textile industry global competitiveness and economic contribution,,
160,The monsoon melancholy you captured in that poem is pure Bangladesh emotion,Je monsoon melancholy tumi sei kobitate capture korecho seta pure Bangladesh emotion,,,influencers,,english_to_banglish,moved,Seasonal mood documentation—recognizing authentic representation of the complex emotional relationship Bangladeshis have with rainy season,,
296,"Bhai, ajke rickshaw pawa jabe kina? Onek late hoye geche","Brother, do you think we'll find a rickshaw this late?",,,night_travelers,,banglish_to_english,anxious,dhaka_transport_anxiety,,
297,The hotel check-in requires valid passport and local reference,Hotel e check-in er jonno passport ar local reference lagbe,,,business_travelers,,english_to_banglish,informative,accommodation_requirements,,
298,Kemon achho tumi? Cha dokan e boshe tomake wait korchi,Where are you? I'm sitting at the tea stall waiting for you,,,friend_meetups,,banglish_to_english,impatient,social_coordination_culture,,
299,My grandmother refuses to use WhatsApp but loves voice calls,Nani WhatsApp use korte chan na kintu voice call khub valobasen,,,mixed_families,,english_to_banglish,generational_humor,tech_generation_gap,,
300,"Kukur-ta ke dekhe bhoy lagche, kintu owner bole 'o khub gentle'",The dog looks scary but the owner says 'he's very gentle',,,pet_encounters,,banglish_to_english,reassuring,street_animal_interactions,,
301,Train station announcements are impossible to understand here,Station er announcement gulo ekhane bujha jay na,,,travel_confusion,,english_to_banglish,frustrated,railway_communication_gaps,,
302,"Dhan'yabada khala, apnar fuchka recipe ta exactly ghor er moto","Thank you aunt, your fuchka recipe tastes exactly like home",,,family_cooking_praise,,banglish_to_english,grateful,comfort_food_appreciation,,
303,The rickshaw driver started playing romantic songs for couples,Rickshaw uncle couple der jonno romantic gan bajate shuru korlen,,,romantic_observers,,english_to_banglish,amused,transportation_entertainment,,
304,"Mummy, phone ta charge kora ache? Ami GPS cholate parchi na","Mom, is the phone charged? I can't run GPS",,,parent_child_tech_help,,banglish_to_english,tech_dependent,modern_navigation_struggles,,
305,Street vendor's cha tastes better than expensive coffee shops,Roadside cha wallah er cha expensive coffee shop theke bhalo,,,authentic_taste_preference,,english_to_banglish,appreciative,street_culture_superiority,,
306,Hotel e AC ta thik ache to? Summer e ekhane thaka mushkil,Is the hotel AC working? It's difficult to stay here in summer,,,accommodation_comfort,,banglish_to_english,practical_concern,weather_comfort_priorities,,
307,My boyfriend learned Bengali just to talk with my family,Amar boyfriend Bengali shikhche family der sathe kotha bolte,,,cross_cultural_relationships,,english_to_banglish,impressed,language_learning_love,,
308,Train er ticket online book kora jay? Line e dariye thakte chai na,Can train tickets be booked online? Don't want to stand in line,,,digital_adoption,,banglish_to_english,convenience_seeking,modern_booking_preferences,,
309,The neighborhood kukur-era recognize regular morning walkers,Moholla er kukur-era regular shokal e walk kora manush der chene,,,community_familiarity,,english_to_banglish,observational,animal_human_recognition,,
310,"Baba, Instagram story te photo upload korte pari ki na?","Dad, can I upload photos to Instagram story?",,,social_media_guidance,,banglish_to_english,permission_seeking,parent_digital_boundaries,,
311,Lost luggage at airport means wearing same clothes three days,Airport e luggage hariye gele tin din same kapor porte hoy,,,travel_mishaps,,english_to_banglish,frustrated,clothing_emergency_reality,,
312,"Rickshaw uncle, music ektu kom korben? Phone call korte hobe","Rickshaw uncle, could you lower the music? I need to make a call",,,transport_communication,,banglish_to_english,polite_request,public_space_etiquette,,
313,The street food vendor remembers everyone's spice preferences,Fuchka wallah shobai er spice preference mone rakhen,,,vendor_customer_relationships,,english_to_banglish,admiring,personalized_service_culture,,
314,"Ma, WiFi password ta ki? Video call korte hobe boyfriend er sathe","Mom, what's the WiFi password? I need to video call my boyfriend",,,relationship_communication,,banglish_to_english,casual_tech_request,family_tech_sharing,,
315,Hotel breakfast timing doesn't match our family prayer schedule,Hotel er breakfast timing amader family prayer er sathe mile na,,,religious_accommodation_needs,,english_to_banglish,scheduling_conflict,prayer_meal_coordination,,
316,Cha dokan er uncle always jane kon newspaper kinte hobe,The tea stall uncle always knows which newspaper to buy,,,vendor_intuition,,banglish_to_english,appreciative,community_service_understanding,,
317,My parents video call during every meal to check what I'm eating,Baba ma prottek khawa r shomoy video call kore ki khachi dekhe,,,parental_oversight,,english_to_banglish,monitoring_humor,food_supervision_culture,,
318,Train e seat confirm hoyeche? Standing ticket e jete chai na,Is the train seat confirmed? Don't want to travel with standing ticket,,,comfort_preference,,banglish_to_english,travel_anxiety,railway_booking_concerns,,
319,The neighborhood dogs guard everyone's children during playtime,Moholla er kukur-der bachcha-der khela r shomoy guard kore,,,animal_child_protection,,english_to_banglish,protective_community,street_safety_culture,,
320,Hotel room e mosquito coil lagbe? Raat e ghumano mushkil hoye jabe,Will we need mosquito coil in hotel room? Sleeping becomes difficult at night,,,accommodation_comfort,,banglish_to_english,practical_preparation,pest_management_concerns,,
321,Street vendors start recognizing you after three visits,Tin bar gele street vendor ra tomake chinte shuru kore,,,vendor_familiarity,,english_to_banglish,community_integration,repeat_customer_recognition,,
322,"Bhai, phone er battery shesh, rickshaw wallah ke address ta bolo","Brother, phone battery died, tell the rickshaw driver the address",,,travel_backup_communication,,banglish_to_english,tech_emergency,device_dependency_solutions,,
323,My girlfriend's family invited me for their traditional fish curry,Amar girlfriend er family amake traditional fish curry khete dakche,,,cultural_food_acceptance,,english_to_banglish,relationship_milestone,family_integration_moments,,
324,Hotel check-out er age suitcase ta properly pack kora ache?,Is the suitcase properly packed before hotel check-out?,,,travel_organization,,banglish_to_english,departure_preparation,leaving_anxiety,,
325,The tea stall becomes unofficial neighborhood news center every evening,Shondha belay cha dokan moholla er unofficial news center hoye jay,,,social_gathering_spots,,english_to_banglish,community_observation,information_exchange_culture,,
326,"Ma, GPS ta kemon kaj kore? Ami rastay hariye jabo","Mom, how does GPS work? I'm going to get lost on the road",,,navigation_dependence,,banglish_to_english,tech_learning_anxiety,directional_confidence_issues,,
327,Train compartment's charging point works only near window seats,Train er compartment e charging point shudhu window seat er kache kaj kore,,,device_charging_strategy,,english_to_banglish,travel_logistics,seating_preference_priorities,,
328,"Rickshaw fare ta advance e confirm korte hobe, meter nei","Have to confirm rickshaw fare in advance, there's no meter",,,transport_pricing,,banglish_to_english,negotiation_reality,fare_discussion_culture,,
329,The hotel staff learned basic Bengali phrases for Bangladeshi guests,Hotel staff Bangladeshi guest der jonno basic Bengali phrase shikhche,,,hospitality_adaptation,,english_to_banglish,cultural_accommodation,language_service_improvement,,
330,"Cha dokan uncle, ajke newspaper ta free te diye den please","Tea stall uncle, please give today's newspaper for free",,,vendor_relationship,,banglish_to_english,friendly_bargaining,community_favor_requests,,
21,Amma visa interview e nervous hoye jabo,Mom I'll get nervous in the visa interview,banglish_to_english,casual,diaspora,Seeking maternal comfort before major life transitions - reflects deep family bonds in Bengali culture during international mobility,,,,,
22,The monsoon flooding situation looks serious,Borsha er bonna ta serious dekhacche,english_to_banglish,professional,expat_professional,Foreign professionals learning to discuss seasonal challenges using appropriate local terminology for workplace conversations,,,,,
23,Fufu tumi ki meditation practice koro,Aunt do you practice meditation regularly,banglish_to_english,casual,mixed_households,Younger generation seeking wellness wisdom from elder Bengali women while respecting traditional family hierarchy,,,,,
24,Your documentary about rural Bangladesh is powerful,Tomar gram er upor documentary ta powerful,english_to_banglish,professional,influencer,International filmmakers receiving recognition for authentic portrayal of Bengali village life and social issues,,,,,
25,Bhai startup pitch e investor impress holo,Dude the investors were impressed by your startup pitch,banglish_to_english,casual,gen_z_diaspora,Bengali entrepreneurs celebrating business success while maintaining traditional brotherly address patterns in modern contexts,,,,,
26,The street art scene here is incredibly vibrant,Ekhane street art er scene ta incredibly vibrant,english_to_banglish,casual,traveler,Foreign visitors expressing appreciation for Dhaka's urban creative culture using locally resonant language patterns,,,,,
27,Chacha property investment er risk factor ki,Uncle what are the risk factors in property investment,banglish_to_english,professional,mixed_households,Cross-cultural financial planning discussions respecting Bengali elder consultation traditions in modern investment decisions,,,,,
28,Remote learning platforms work differently here,Remote learning platform gula ekhane alada kaj korey,english_to_banglish,professional,researcher,Academic researchers documenting educational technology adoption patterns in South Asian contexts,,,,,
29,Didi tumi freelancing e successful hoye gecho,Sister you've become successful in freelancing,banglish_to_english,casual,diaspora,Celebrating female entrepreneurship achievements while maintaining traditional sister-respect addressing common in Bengali families,,,,,
30,The cultural festival planning needs more volunteers,Cultural festival er planning e aro volunteer dorkar,english_to_banglish,professional,expat_professional,Foreign community organizers learning to mobilize local support for multicultural events using appropriate community language,,,,,
31,Nani Bitcoin price volatility bujhte parchen,Grandmother do you understand Bitcoin price volatility,banglish_to_english,unhinged,mixed_households,Generational gap humor - young Bengalis explaining cryptocurrency to traditional elders with affectionate absurdity,,,,,
32,Your research methodology is quite innovative,Tomar research methodology ta quite innovative,english_to_banglish,professional,researcher,International academics praising Bengali researchers using respectful local communication patterns for scholarly collaboration,,,,,
33,Mama coworking space ta productive environment,Bro the coworking space is a productive environment,banglish_to_english,casual,business_professional,Modern workplace discussions among Bengali professionals mixing traditional familiarity with contemporary work culture terminology,,,,,
34,The food delivery apps are game-changing here,Food delivery app gula ekhane game-changing,english_to_banglish,casual,traveler,Foreign visitors adapting to local tech ecosystem and expressing enthusiasm using culturally appropriate intensifiers,,,,,
35,Khalamoni social media marketing shikhaben,Dear aunt will you teach social media marketing,banglish_to_english,professional,mixed_households,Intergenerational skill transfer where younger family members seek digital expertise from Bengali elder women entrepreneurs,,,,,
36,Your podcast about diaspora identity resonates deeply,Tomar diaspora identity niye podcast ta deeply resonate korey,english_to_banglish,casual,influencer,International creators connecting with Bengali audiences about shared cultural displacement experiences,,,,,
37,Baba cryptocurrency tax implications bujhiye dao,Father please explain cryptocurrency tax implications,banglish_to_english,professional,gen_z_diaspora,Young Bengali professionals seeking paternal financial guidance on modern investment challenges while maintaining filial respect,,,,,
38,The traditional craft workshops are absolutely fascinating,Traditional craft er workshop gula absolutely fascinating,english_to_banglish,casual,traveler,Foreign cultural enthusiasts expressing genuine appreciation for Bengali artisanal heritage using emotionally resonant local expressions,,,,,
39,Bon AI startup funding round successful holo,Sister the AI startup funding round was successful,banglish_to_english,professional,business_professional,Tech entrepreneur siblings celebrating milestone achievements while preserving Bengali familial celebration patterns,,,,,
40,Your thesis defense presentation was outstanding,Tomar thesis defense er presentation outstanding chilo,english_to_banglish,professional,researcher,International academic mentors acknowledging Bengali graduate students' scholarly achievements using appropriate recognition language,,,,,
86,Rickshaw wala ke English e address explain korte giye hopeless hoye gechi,I became hopeless trying to explain the address to the rickshaw driver in English,,,expats,,banglish_to_english,frustrated,Language barrier reality in everyday navigation—expats learning that Bengali fluency is essential for basic transportation in Dhaka,,
87,Your appreciation for our hilsa fish culture is genuinely heartwarming,Amader ilish maach er sangskriti ta tumi je bhabe appreciate koro seta sotti-i hridoy-chhoya,,,researchers,,english_to_banglish,touched,Cultural food significance recognition—acknowledging deep emotional connection to Bangladesh's national fish and its ceremonial importance,,
88,Eid shopping e New Market e crowd dekhe panic attack ashche,Getting panic attacks seeing the crowd at New Market during Eid shopping,,,diaspora,,banglish_to_english,overwhelmed,Festival shopping intensity—claustrophobic experience of traditional marketplace during peak religious celebration periods,,
89,Dhakaiya puran Dhaka te street food tour korar ichha ache,I want to do a street food tour in old Dhaka's Dhakaiya area,,,travelers,,banglish_to_english,excited,Culinary heritage exploration—tourist interest in authentic local food culture within historical neighborhood contexts,,
90,The monsoon poetry you shared captures Bangladesh's soul perfectly,Je monsoon er kobita share korecho seta Bangladesh er atma ke perfect bhabe capture koreche,,,influencers,,english_to_banglish,moved,Seasonal literary appreciation—recognizing artistic expression that embodies the spiritual essence of Bangladesh's defining weather pattern,,
91,Nani Pahela Boishakh e traditional sari pore photoshoot koriyeche,Grandma did a photoshoot wearing traditional sari on Pahela Boishakh,,,diaspora,,banglish_to_english,proud,"Cultural celebration documentation—elderly family members embracing traditional attire for Bengali New Year, creating lasting memories",,
92,Traffic jam e stuck thaka obosthatei Zoom meeting attend korte hoyeche,Had to attend Zoom meeting while stuck in traffic jam,,,professionals,,banglish_to_english,stressed,Urban professional reality—adapting remote work requirements to Dhaka's notorious traffic infrastructure challenges,,
93,Your understanding of our adda culture runs surprisingly deep,Amader adda sangskriti ta tumi ashcharjojanak bhabe gombhir understand koro,,,mixed_household,,english_to_banglish,impressed,Social interaction appreciation—recognizing the profound cultural significance of informal Bengali conversation gatherings,,
94,Mamar bari te giye village life experience korte chai,Want to go to uncle's house and experience village life,,,diaspora,,banglish_to_english,nostalgic,Rural connection seeking—urban or overseas Bangladeshis yearning for authentic countryside experiences through extended family,,
95,CNG auto theke neme mobile phone hariye felechi,Lost my mobile phone after getting down from CNG auto,,,expats,,banglish_to_english,panicked,Urban transportation mishaps—common anxiety-inducing scenarios involving Bangladesh's unique three-wheeler taxi system,,
96,The way you explained our tea culture made me homesick,Amader cha er sangskriti ta je bhabe explain korecho seta amake home-sick kore diyeche,,,diaspora,,english_to_banglish,emotional,Beverage tradition nostalgia—emotional impact of detailed cultural explanations triggering homeland longing,,
97,Baba retirement er por cricket commentary korte shuru koreche,Dad started doing cricket commentary after retirement,,,mixed_household,,banglish_to_english,amused,Post-career hobby adoption—elderly Bengali men channeling sports passion into informal broadcasting activities,,
98,Durga Puja pandal hopping korar jonno energy level check korte hobe,Need to check energy levels for Durga Puja pandal hopping,,,travelers,,banglish_to_english,planning,Festival participation preparation—strategic physical planning for intensive cultural site-visiting during major Hindu celebrations,,
99,Your Bangla handwriting has that classic fountain pen elegance,Tomar Bangla hater lekha te sei classic fountain pen er elegance ache,,,researchers,,english_to_banglish,admiring,Script aesthetic appreciation—recognizing traditional penmanship beauty that reflects educated Bengali literary culture,,
100,Winter e Dhaka te pollution ar fog mix hoye apocalyptic lagche,"In winter, Dhaka's pollution mixed with fog looks apocalyptic",,,professionals,,banglish_to_english,concerned,Environmental reality documentation—describing the severe seasonal air quality crisis affecting Bangladesh's capital city,,
101,Masi Dubai theke gold jewelry pathiyeche wedding er jonno,Aunt sent gold jewelry from Dubai for the wedding,,,diaspora,,banglish_to_english,grateful,Transnational wedding contributions—overseas family members fulfilling traditional obligations through precious metal gifting,,
102,The authenticity of your Bangladesh travel blog is incredibly refreshing,Tomar Bangladesh travel blog er authenticity ta incredibly refreshing,,,influencers,,english_to_banglish,appreciative,Content quality recognition—praising genuine cultural representation over superficial tourism documentation,,
103,Chachir biye te dance performance e participate korbo,Will participate in dance performance at uncle's wedding,,,mixed_household,,banglish_to_english,excited,Wedding entertainment participation—family members contributing to ceremonial festivities through artistic performances,,
104,Bus stand e waiting kora obosthai pickpocket hoyechi,Got pickpocketed while waiting at the bus stand,,,expats,,banglish_to_english,frustrated,Urban crime reality—common security challenges faced in crowded public transportation hubs,,
105,Your respect for our rickshaw art traditions touches my heart,Amader rickshaw art tradition er proti je shoroddha tomar seta amar hridoy chhuy jae,,,researchers,,english_to_banglish,moved,Folk art appreciation—emotional response to outsider recognition of Bangladesh's unique vehicle decoration culture,,
106,Iftar e traditional food setup dekhe childhood memory fire ashche,Seeing traditional food setup during Iftar brings back childhood memories,,,diaspora,,banglish_to_english,nostalgic,Religious meal nostalgia—Ramadan breaking-fast arrangements triggering powerful reminiscences of family traditions,,
107,Dada Singapore e software engineer howar por family er attitude change hoye geche,Brother's family attitude changed after he became a software engineer in Singapore,,,professionals,,banglish_to_english,observant,Career success social dynamics—noting how overseas professional achievements alter familial respect and treatment patterns,,
108,The monsoon mood you captured in that video is pure Bangladesh,Je monsoon mood ta tumi sei video te capture korecho seta pure Bangladesh,,,influencers,,english_to_banglish,impressed,Seasonal atmosphere documentation—recognizing authentic representation of Bangladesh's defining weather experience in creative content,,
109,Nana Sylhet er cha bagan ghure ashte chan retirement e,Grandpa wants to visit Sylhet tea gardens during retirement,,,diaspora,,banglish_to_english,hopeful,Regional tourism aspiration—elderly family members planning heritage site visits to iconic Bangladesh landscape destinations,,
110,Your grasp of our family hierarchy nuances deserves academic recognition,Amader paribarik shatostro er nuance gulo tomar ja dharona seta academic recognition deserve kore,,,researchers,,english_to_banglish,respectful,Social structure comprehension—acknowledging sophisticated understanding of complex Bengali family relationship dynamics,,
331,"Bhaiya, power bank ta charge kora ache? Train e charging port pabo na","Brother, is the power bank charged? I won't find a charging port on the train",,,travelers,,banglish_to_english,practical_concern,device_dependency_drama,,
332,The rickshaw driver refuses to use the meter and quotes double rate,Rickshaw wala meter use korte chay na ar double rate bolche,,,fare_negotiators,,english_to_banglish,frustrated,transport_pricing_conflicts,,
333,Kemon acho uncle? Ajke fuchka gulo ektu beshi chatpati banaben,How are you uncle? Make today's fuchkas a bit more tangy please,,,regular_customers,,banglish_to_english,friendly_request,vendor_customization_culture,,
334,My grandmother insists on cash payments everywhere we go,Nani jekhanei jai cash diye pay korte bole,,,payment_preferences,,english_to_banglish,generational_humor,digital_resistance_culture,,
335,Ghor e kukur ta ke ante parbo? Landlord permission debe kina,Can I bring the dog home? Will the landlord give permission?,,,pet_owners,,banglish_to_english,housing_concern,rental_pet_policies,,
336,Street food tastes better when shared with complete strangers,Ojana manush der sathe street food share korle taste bhalo lage,,,community_bonding,,english_to_banglish,social_observation,shared_eating_culture,,
337,"Dhanyabad ma, tumi WiFi password ta finally shikhiye diyecho","Thank you mom, you finally taught me the WiFi password",,,family_tech_learning,,banglish_to_english,tech_gratitude,password_sharing_struggles,,
338,The hotel room's AC makes more noise than a rickshaw engine,Hotel room er AC rickshaw er engine theke beshi awaz kore,,,comfort_expectations,,english_to_banglish,accommodation_complaint,noise_comparison_humor,,
339,"Cha dokan e boshle shara din kete jay, newspaper ar adda","Sitting at the tea stall, the whole day passes with newspaper and chat",,,community_gathering,,banglish_to_english,leisurely_social,social_hub_culture,,
340,Train delays mean missing connecting flights to international destinations,Train late hole international flight miss hoye jay,,,transit_connections,,english_to_banglish,travel_anxiety,scheduling_stress_reality,,
341,"Rickshaw wala bhai, music ta ektu kom koren, phone e important call","Rickshaw driver brother, lower the music, important call on phone",,,professional_calls,,banglish_to_english,polite_transport_request,public_space_communication,,
342,The neighborhood kukur recognizes delivery guys and never barks at them,Moholla er kukur delivery guy der chene ar bark kore na,,,animal_intelligence,,english_to_banglish,community_observation,local_familiarity_patterns,,
343,"Ma, Instagram e photo upload korte hole data lagbe na?","Mom, won't uploading photos to Instagram require data?",,,social_media_learning,,banglish_to_english,data_concern,cost_conscious_usage,,
344,Hotel breakfast timing conflicts with morning prayer schedule perfectly,Hotel er breakfast time ar fajr prayer er time perfectly clash kore,,,accommodation_conflicts,,english_to_banglish,religious_scheduling,prayer_meal_coordination,,
345,Fuchka wala uncle always jane ami koto spicy khete pari,The fuchka vendor uncle always knows how spicy I can handle,,,customer_recognition,,banglish_to_english,vendor_familiarity,personalized_service_appreciation,,
346,My boyfriend learned to bargain in Bengali faster than speaking it,Amar boyfriend Bengali te bargain kora speaking er theke fast shikhche,,,cultural_adaptation,,english_to_banglish,relationship_humor,practical_language_priorities,,
347,Power cut hole mobile charge korar upay ki? Generator ache kothao?,What's the solution for charging mobile during power cuts? Is there a generator somewhere?,,,power_outage_solutions,,banglish_to_english,infrastructure_concern,device_charging_emergencies,,
348,The street dogs form unofficial security patrol for late night workers,Rat e kaj kora manush der jonno street dog ra security patrol kore,,,animal_human_cooperation,,english_to_banglish,community_protection,night_safety_culture,,
349,Train ticket online book korte giye payment fail hoye gelo,Tried booking train ticket online but payment failed,,,booking_difficulties,,banglish_to_english,digital_frustration,online_transaction_failures,,
350,Hotel staff learned our family's tea preferences within two days,Du din e hotel staff amader family er cha preference shikhye gelo,,,service_personalization,,english_to_banglish,hospitality_appreciation,guest_recognition_culture,,
351,Cha dokaner uncle newspaper ta age thekei ready rakhe amader jonno,The tea stall uncle keeps our newspaper ready in advance,,,customer_loyalty,,banglish_to_english,vendor_anticipation,predictive_service_culture,,
352,The rickshaw ride became impromptu city tour with driver's commentary,Rickshaw wala bhai er commentary diye ride ta city tour hoye gelo,,,local_guide_experience,,english_to_banglish,transport_entertainment,spontaneous_tourism,,
353,"Ghora dekhe bhoy lagche, kintu chele ta bole 'gentle horse'","I'm scared seeing the horse, but the boy says 'gentle horse'",,,reassurance_moments,,banglish_to_english,animal_anxiety,fear_comfort_interactions,,
354,Airport WiFi requires phone verification but international SIM doesn't work,Airport er WiFi te phone verify korte hole kintu international SIM kaj kore na,,,verification_barriers,,english_to_banglish,travel_connectivity,international_roaming_issues,,
355,"Dhanyabad apu, tomra amader ke family er moto treat korecho","Thank you sister, you all treated us like family",,,family_treatment,,banglish_to_english,hospitality_gratitude,cultural_warmth_appreciation,,
356,The hotel elevator plays classical music but rickshaws blast pop songs,Hotel er elevator e classical music kintu rickshaw e pop song,,,music_environment_differences,,english_to_banglish,cultural_contrast,transportation_entertainment_comparison,,
357,Mobile er battery backup kemon? Whole day cholbe to?,How's the mobile's battery backup? Will it last the whole day?,,,battery_anxiety,,banglish_to_english,device_reliability,daily_usage_planning,,
358,Street vendor's memory for customer preferences amazes technology users,Street vendor er customer preference mone rakhar capacity technology user der obak kore,,,memory_appreciation,,english_to_banglish,human_vs_tech,analog_intelligence_admiration,,
359,Traffic jam e pore rickshaw wala bhai life story bolte shuru korlo,"Stuck in traffic jam, rickshaw driver brother started telling his life story",,,personal_sharing,,banglish_to_english,transport_bonding,traffic_delay_conversations,,
360,The neighborhood cats have established hierarchy around the fish market,Fish market er charpashe biral der hierarchy established hoye gese,,,market_ecosystem,,english_to_banglish,animal_sociology,territorial_behavior_observation,,
361,Hotel room e mosquito problem hole ki korbo? Coil kinbo kothay?,What to do if there's mosquito problem in hotel room? Where to buy coil?,,,pest_management,,banglish_to_english,accommodation_preparation,local_shopping_needs,,
